id,name,description,dataType,valueJson,langCode,isActive
21595,Iriscolor,Iriscolor,string,"{"code":"10","value":"ಕಪ್ಪು"}",kan,TRUE
21596,Iriscolor,Iriscolor,string,"{"code":"10","value":"काला"}",hin,TRUE
21597,Iriscolor,Iriscolor,string,"{"code":"10","value":"கருப்பு"}",tam,TRUE
21598,Iriscolor,Iriscolor,string,"{"code":"10","value":"Black"}",eng,TRUE
21599,Iriscolor,Iriscolor,string,"{"code":"20","value":"ಕಂದು"}",kan,TRUE
21600,Iriscolor,Iriscolor,string,"{"code":"20","value":"भूरा"}",hin,TRUE
21601,Iriscolor,Iriscolor,string,"{"code":"20","value":"பழுப்பு"}",tam,TRUE
21602,Iriscolor,Iriscolor,string,"{"code":"20","value":"Brown"}",eng,TRUE
21603,Iriscolor,Iriscolor,string,"{"code":"30","value":"अन्य"}",kan,TRUE
21604,Iriscolor,Iriscolor,string,"{"code":"30","value":"ಇತರೆ"}",hin,TRUE
21605,Iriscolor,Iriscolor,string,"{"code":"30","value":"மற்ற"}",tam,TRUE
21606,Iriscolor,Iriscolor,string,"{"code":"30","value":"Others"}",eng,TRUE
21607,ethnicity,ethnicity,string,"{"code":"10","value":"ಶುದ್ಧ ಭಾರತೀಯ"}",kan,TRUE
21608,ethnicity,ethnicity,string,"{"code":"10","value":"शुद्ध भारतीय"}",hin,TRUE
21609,ethnicity,ethnicity,string,"{"code":"10","value":"தூய இந்தியர்"}",tam,TRUE
21610,ethnicity,ethnicity,string,"{"code":"10","value":"Pure Indian"}",eng,TRUE
21611,ethnicity,ethnicity,string,"{"code":"20","value":"ಲ್ಯಾಟಿನ್ ಅಮೆರಿಕನ್"}",kan,TRUE
21612,ethnicity,ethnicity,string,"{"code":"20","value":"लैटिन अमेरिकन"}",hin,TRUE
21613,ethnicity,ethnicity,string,"{"code":"20","value":"லத்தீன் அமெரிக்கன்"}",tam,TRUE
21614,ethnicity,ethnicity,string,"{"code":"20","value":"Latin American"}",eng,TRUE
21615,ethnicity,ethnicity,string,"{"code":"30","value":"अन्य"}",kan,TRUE
21616,ethnicity,ethnicity,string,"{"code":"30","value":"ಇತರೆ"}",hin,TRUE
21617,ethnicity,ethnicity,string,"{"code":"30","value":"மற்ற"}",tam,TRUE
21618,ethnicity,ethnicity,string,"{"code":"30","value":"Others"}",eng,TRUE
21619,nationality,nationality,string,"{"code":"10","value":"भारतीय"}",hin,TRUE
21620,nationality,nationality,string,"{"code":"10","value":"ಭಾರತೀಯ"}",kan,TRUE
21621,nationality,nationality,string,"{"code":"10","value":"இந்தியன்"}",tam,TRUE
21622,nationality,nationality,string,"{"code":"10","value":"Indian"}",eng,TRUE
21623,nationality,nationality,string,"{"code":"20","value":"परदेशी"}",hin,TRUE
21624,nationality,nationality,string,"{"code":"20","value":"ವಿದೇಶಿ"}",kan,TRUE
21625,nationality,nationality,string,"{"code":"20","value":"வெளிநாட்டவர்"}",tam,TRUE
21626,nationality,nationality,string,"{"code":"20","value":"Foreigner"}",eng,TRUE
21627,profession,Profession/ Occupation,string,"{"code":"101","value":"मुनीम"}",hin,TRUE
21628,profession,Profession/ Occupation,string,"{"code":"102","value":"अभिनेता"}",hin,TRUE
21629,profession,Profession/ Occupation,string,"{"code":"103","value":"मुंशी"}",hin,TRUE
21630,profession,Profession/ Occupation,string,"{"code":"104","value":"सलाहकार"}",hin,TRUE
21631,profession,Profession/ Occupation,string,"{"code":"105","value":"दूत"}",hin,TRUE
21632,profession,Profession/ Occupation,string,"{"code":"106","value":"कलाकार"}",hin,TRUE
21633,profession,Profession/ Occupation,string,"{"code":"107","value":"अंतरिक्ष यात्री"}",hin,TRUE
21634,profession,Profession/ Occupation,string,"{"code":"108","value":"एथलीट"}",hin,TRUE
21635,profession,Profession/ Occupation,string,"{"code":"109","value":"लेखक"}",hin,TRUE
21636,profession,Profession/ Occupation,string,"{"code":"110","value":"बेकर नानबाई"}",hin,TRUE
21637,profession,Profession/ Occupation,string,"{"code":"111","value":"बैंकर"}",hin,TRUE
21638,profession,Profession/ Occupation,string,"{"code":"112","value":"नाई"}",hin,TRUE
21639,profession,Profession/ Occupation,string,"{"code":"113","value":"लोहार"}",hin,TRUE
21640,profession,Profession/ Occupation,string,"{"code":"114","value":"कसाई"}",hin,TRUE
21641,profession,Profession/ Occupation,string,"{"code":"115","value":"बढ़ई"}",hin,TRUE
21642,profession,Profession/ Occupation,string,"{"code":"116","value":"केशियर"}",hin,TRUE
21643,profession,Profession/ Occupation,string,"{"code":"101","value":"ಅಕೌಂಟೆಂಟ್"}",kan,TRUE
21644,profession,Profession/ Occupation,string,"{"code":"102","value":"ನಟ"}",kan,TRUE
21645,profession,Profession/ Occupation,string,"{"code":"103","value":"ವಿಮಾಗಣಕ"}",kan,TRUE
21646,profession,Profession/ Occupation,string,"{"code":"104","value":"ಸಲಹೆಗಾರ"}",kan,TRUE
21647,profession,Profession/ Occupation,string,"{"code":"105","value":"ರಾಯಭಾರಿ"}",kan,TRUE
21648,profession,Profession/ Occupation,string,"{"code":"106","value":"ಕಲಾವಿದ"}",kan,TRUE
21649,profession,Profession/ Occupation,string,"{"code":"107","value":"ಗಗನಯಾತ್ರಿ"}",kan,TRUE
21650,profession,Profession/ Occupation,string,"{"code":"108","value":"ಕ್ರೀಡಾಪಟು"}",kan,TRUE
21651,profession,Profession/ Occupation,string,"{"code":"109","value":"ಲೇಖಕ"}",kan,TRUE
21652,profession,Profession/ Occupation,string,"{"code":"110","value":"ಬೇಕರ್"}",kan,TRUE
21653,profession,Profession/ Occupation,string,"{"code":"111","value":"ಬ್ಯಾಂಕರ್"}",kan,TRUE
