id,name,description,dataType,valueJson,langCode,isActive,
10459,profession,Profession/ Occupation,string,"{"code":"101","value":"मुनीम"}",hin,TRUE
10460,profession,Profession/ Occupation,string,"{"code":"102","value":"अभिनेता"}",hin,TRUE
10461,profession,Profession/ Occupation,string,"{"code":"103","value":"मुंशी"}",hin,TRUE
10462,profession,Profession/ Occupation,string,"{"code":"104","value":"सलाहकार"}",hin,TRUE
10463,profession,Profession/ Occupation,string,"{"code":"105","value":"दूत"}",hin,TRUE
10464,profession,Profession/ Occupation,string,"{"code":"106","value":"कलाकार"}",hin,TRUE
10465,profession,Profession/ Occupation,string,"{"code":"107","value":"अंतरिक्ष यात्री"}",hin,TRUE
10466,profession,Profession/ Occupation,string,"{"code":"108","value":"एथलीट"}",hin,TRUE
10467,profession,Profession/ Occupation,string,"{"code":"109","value":"लेखक"}",hin,TRUE
10468,profession,Profession/ Occupation,string,"{"code":"110","value":"बेकर नानबाई"}",hin,TRUE
10469,profession,Profession/ Occupation,string,"{"code":"111","value":"बैंकर"}",hin,TRUE
10470,profession,Profession/ Occupation,string,"{"code":"112","value":"नाई"}",hin,TRUE
10471,profession,Profession/ Occupation,string,"{"code":"113","value":"लोहार"}",hin,TRUE
10472,profession,Profession/ Occupation,string,"{"code":"114","value":"कसाई"}",hin,TRUE
10473,profession,Profession/ Occupation,string,"{"code":"115","value":"बढ़ई"}",hin,TRUE
10474,profession,Profession/ Occupation,string,"{"code":"116","value":"केशियर"}",hin,TRUE
10475,profession,Profession/ Occupation,string,"{"code":"101","value":"ಅಕೌಂಟೆಂಟ್"}",kan,TRUE
10476,profession,Profession/ Occupation,string,"{"code":"102","value":"ನಟ"}",kan,TRUE
10477,profession,Profession/ Occupation,string,"{"code":"103","value":"ವಿಮಾಗಣಕ"}",kan,TRUE
10478,profession,Profession/ Occupation,string,"{"code":"104","value":"ಸಲಹೆಗಾರ"}",kan,TRUE
10479,profession,Profession/ Occupation,string,"{"code":"105","value":"ರಾಯಭಾರಿ"}",kan,TRUE
10480,profession,Profession/ Occupation,string,"{"code":"106","value":"ಕಲಾವಿದ"}",kan,TRUE
10481,profession,Profession/ Occupation,string,"{"code":"107","value":"ಗಗನಯಾತ್ರಿ"}",kan,TRUE
10482,profession,Profession/ Occupation,string,"{"code":"108","value":"ಕ್ರೀಡಾಪಟು"}",kan,TRUE
10483,profession,Profession/ Occupation,string,"{"code":"109","value":"ಲೇಖಕ"}",kan,TRUE
10484,profession,Profession/ Occupation,string,"{"code":"110","value":"ಬೇಕರ್"}",kan,TRUE
10485,profession,Profession/ Occupation,string,"{"code":"111","value":"ಬ್ಯಾಂಕರ್"}",kan,TRUE
10486,profession,Profession/ Occupation,string,"{"code":"112","value":"ಬಾರ್ಬರ್"}",kan,TRUE
10487,profession,Profession/ Occupation,string,"{"code":"113","value":"ಬ್ಲಾಕ್ಸ್ಮಿತ್"}",kan,TRUE
10488,profession,Profession/ Occupation,string,"{"code":"114","value":"ಬುತ್ಚೆರ್"}",kan,TRUE
10489,profession,Profession/ Occupation,string,"{"code":"115","value":"ಕಾರ್ಪೆಂಟರ್"}",kan,TRUE
